# ScienceGPT Logs — level=ERROR lines=200 of 460 (72591 total)
# /home/azureuser/SummarizationTool/backend/output/logs/app.log

2026-03-05 17:51:07 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:51:07 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:51:08 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:51:16 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:51:24 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:51:25 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:51:26 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:51:26 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:51:27 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:51:28 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:51:28 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:51:37 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:51:38 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
2026-03-05 17:51:38 [ERROR] app: Unhandled APIError on POST /api/sessions/ef75133c-4618-44c3-b9f6-6b3f90ad9aea/extractions
